Datetime,YEAR,MONTH,DAY,SST,Temperature
1981-01-01,1981.0,1.0,1.0,,
1981-01-02,1981.0,1.0,2.0,,
1981-01-03,1981.0,1.0,3.0,,
1981-01-04,1981.0,1.0,4.0,,
1981-01-05,1981.0,1.0,5.0,,
1981-01-06,1981.0,1.0,6.0,,
1981-01-07,1981.0,1.0,7.0,,
1981-01-08,1981.0,1.0,8.0,,
1981-01-09,1981.0,1.0,9.0,,
1981-01-10,1981.0,1.0,10.0,,
1981-01-11,1981.0,1.0,11.0,,
1981-01-12,1981.0,1.0,12.0,,
1981-01-13,1981.0,1.0,13.0,,
1981-01-14,1981.0,1.0,14.0,,
1981-01-15,1981.0,1.0,15.0,,
1981-01-16,1981.0,1.0,16.0,,
1981-01-17,1981.0,1.0,17.0,,
1981-01-18,1981.0,1.0,18.0,,
1981-01-19,1981.0,1.0,19.0,,
1981-01-20,1981.0,1.0,20.0,,
1981-01-21,1981.0,1.0,21.0,,
1981-01-22,1981.0,1.0,22.0,,
1981-01-23,1981.0,1.0,23.0,,
1981-01-24,1981.0,1.0,24.0,,
1981-01-25,1981.0,1.0,25.0,,
1981-01-26,1981.0,1.0,26.0,,
1981-01-27,1981.0,1.0,27.0,,
1981-01-28,1981.0,1.0,28.0,,
1981-01-29,1981.0,1.0,29.0,,
1981-01-30,1981.0,1.0,30.0,,
1981-01-31,1981.0,1.0,31.0,,
1981-02-01,1981.0,2.0,1.0,,
1981-02-02,1981.0,2.0,2.0,,
1981-02-03,1981.0,2.0,3.0,,
1981-02-04,1981.0,2.0,4.0,,
1981-02-05,1981.0,2.0,5.0,,
1981-02-06,1981.0,2.0,6.0,,
1981-02-07,1981.0,2.0,7.0,,
1981-02-08,1981.0,2.0,8.0,,
1981-02-09,1981.0,2.0,9.0,,
1981-02-10,1981.0,2.0,10.0,,
1981-02-11,1981.0,2.0,11.0,,
1981-02-12,1981.0,2.0,12.0,,
1981-02-13,1981.0,2.0,13.0,,
1981-02-14,1981.0,2.0,14.0,,
1981-02-15,1981.0,2.0,15.0,,
1981-02-16,1981.0,2.0,16.0,,
1981-02-17,1981.0,2.0,17.0,,
1981-02-18,1981.0,2.0,18.0,,
1981-02-19,1981.0,2.0,19.0,,
1981-02-20,1981.0,2.0,20.0,,
1981-02-21,1981.0,2.0,21.0,,
1981-02-22,1981.0,2.0,22.0,,
1981-02-23,1981.0,2.0,23.0,,
1981-02-24,1981.0,2.0,24.0,,
1981-02-25,1981.0,2.0,25.0,,
1981-02-26,1981.0,2.0,26.0,,
1981-02-27,1981.0,2.0,27.0,,
1981-02-28,1981.0,2.0,28.0,,
1981-03-01,1981.0,3.0,1.0,,
